_time,_value
2023-12-17T02:07:21.669829703Z,91
2023-12-17T02:07:32.006370604Z,99
2023-12-17T02:07:42.356153289Z,108
2023-12-17T02:07:52.665864531Z,96
2023-12-17T02:08:02.975276456Z,104
2023-12-17T02:08:13.245081369Z,84
2023-12-17T02:08:23.501690149Z,96
2023-12-17T02:08:33.801334746Z,77
2023-12-17T02:08:43.907108228Z,85
2023-12-17T02:08:54.217743298Z,73
2023-12-17T02:09:04.545855102Z,57
2023-12-17T02:09:14.844117909Z,58
2023-12-17T02:09:25.133914581Z,96
2023-12-17T02:09:35.45348031Z,79
2023-12-17T02:09:45.757694652Z,76
2023-12-17T02:09:56.065037354Z,85
2023-12-17T02:10:06.371581543Z,87
2023-12-17T02:10:16.687474635Z,82
2023-12-17T02:10:26.993562972Z,137
2023-12-17T02:10:37.319109645Z,85
2023-12-17T02:10:47.621754272Z,77
2023-12-17T02:10:57.959196564Z,82
2023-12-17T02:11:08.284247331Z,76
2023-12-17T02:11:18.624045434Z,76
2023-12-17T02:11:28.920785722Z,79
2023-12-17T02:11:39.271350261Z,78
2023-12-17T02:11:49.379373286Z,98
2023-12-17T02:11:59.677829082Z,86
2023-12-17T02:12:10.011542626Z,70
2023-12-17T02:12:20.32555728Z,86
2023-12-17T02:12:30.647701154Z,91
2023-12-17T02:12:40.83686732Z,93
2023-12-17T02:12:50.935739485Z,87
2023-12-17T02:13:01.288296989Z,80
2023-12-17T02:13:11.616245054Z,86
2023-12-17T02:13:21.891820254Z,92
2023-12-17T02:13:32.078402989Z,93
2023-12-17T02:13:42.405766775Z,101
2023-12-17T02:13:52.733307277Z,89
2023-12-17T02:14:03.042181749Z,88
2023-12-17T02:14:13.296997781Z,102
2023-12-17T02:14:23.628733441Z,92
2023-12-17T02:14:33.971079859Z,95
2023-12-17T02:14:44.23189722Z,94
2023-12-17T02:14:54.375728325Z,81
2023-12-17T02:15:04.702587513Z,96
2023-12-17T02:15:15.055114566Z,109
2023-12-17T02:15:25.382520988Z,68
2023-12-17T02:15:35.688907706Z,89
2023-12-17T02:15:46.024917184Z,96
2023-12-17T02:15:56.151021869Z,88
2023-12-17T02:16:06.455833333Z,69
2023-12-17T02:16:16.768201727Z,86
2023-12-17T02:16:27.069390261Z,83
2023-12-17T02:16:37.373048502Z,94
2023-12-17T02:16:47.684011351Z,97
2023-12-17T02:16:58.010371827Z,88
2023-12-17T02:17:08.321603226Z,89
2023-12-17T02:17:18.465601833Z,87
2023-12-17T02:17:28.789403992Z,85
2023-12-17T02:17:39.093734434Z,100
2023-12-17T02:17:49.412001951Z,108
2023-12-17T02:17:59.744474033Z,86
2023-12-17T02:18:10.061150167Z,93
2023-12-17T02:18:20.383247385Z,85
2023-12-17T02:18:30.721517482Z,75
2023-12-17T02:18:41.049293719Z,74
2023-12-17T02:18:51.340183918Z,86
2023-12-17T02:19:01.663610015Z,79
2023-12-17T02:19:11.973487228Z,102
2023-12-17T02:19:22.307183951Z,80
2023-12-17T02:19:32.432936992Z,75
2023-12-17T02:19:42.750867508Z,68
2023-12-17T02:19:53.065405957Z,69
2023-12-17T02:20:03.399259214Z,78
2023-12-17T02:20:13.69257496Z,94
2023-12-17T02:20:23.997752949Z,84
2023-12-17T02:20:34.279601219Z,88
2023-12-17T02:20:44.397038444Z,82
2023-12-17T02:20:54.677852921Z,88
2023-12-17T02:21:04.994505236Z,91
2023-12-17T02:21:15.303610862Z,80
2023-12-17T02:21:25.552618777Z,76
2023-12-17T02:21:35.879328575Z,82
2023-12-17T02:21:46.201982477Z,95
2023-12-17T02:21:56.496888872Z,76
2023-12-17T02:22:06.810347212Z,88
2023-12-17T02:22:17.12747997Z,71
2023-12-17T02:22:27.38743784Z,75
2023-12-17T02:22:37.716361756Z,87
2023-12-17T02:22:48.06298363Z,88
2023-12-17T02:22:58.373779682Z,99
2023-12-17T02:23:08.700242603Z,96
2023-12-17T02:23:19.013815529Z,96
2023-12-17T02:23:29.350678886Z,87
2023-12-17T02:23:39.494249694Z,72
2023-12-17T02:23:49.828464738Z,80
2023-12-17T02:24:00.172829786Z,110
2023-12-17T02:24:10.490496588Z,90
2023-12-17T02:24:20.730107987Z,80
2023-12-17T02:24:31.053143163Z,102
2023-12-17T02:24:41.29112458Z,80
2023-12-17T02:24:51.607500741Z,79
2023-12-17T02:25:01.985874427Z,69
2023-12-17T02:25:12.257902712Z,71
2023-12-17T02:25:22.604144676Z,66
2023-12-17T02:25:32.908982557Z,74
2023-12-17T02:25:43.097050095Z,80
2023-12-17T02:25:53.451178026Z,84
2023-12-17T02:26:03.74772944Z,86
2023-12-17T02:26:13.892506049Z,70
2023-12-17T02:26:24.245224918Z,86
2023-12-17T02:26:34.464060133Z,87
2023-12-17T02:26:44.816758643Z,77
2023-12-17T02:26:55.165679614Z,47
2023-12-17T02:27:05.463360863Z,81
2023-12-17T02:27:15.773616476Z,83
2023-12-17T02:27:26.077799135Z,76
2023-12-17T02:27:36.380631779Z,76
2023-12-17T02:27:46.694622051Z,66
2023-12-17T02:27:57.024559703Z,75
2023-12-17T02:28:07.339379665Z,81
2023-12-17T02:28:17.63774669Z,75
2023-12-17T02:28:28.035765173Z,70
2023-12-17T02:28:38.250156428Z,75
2023-12-17T02:28:48.575125047Z,87
2023-12-17T02:28:58.910511618Z,71
2023-12-17T02:29:09.232211737Z,93
2023-12-17T02:29:19.622248632Z,101
2023-12-17T02:29:29.806507123Z,96
2023-12-17T02:29:40.152085418Z,100
2023-12-17T02:29:50.488245455Z,84
2023-12-17T02:30:00.836525155Z,91
2023-12-17T02:30:11.195740324Z,87
2023-12-17T02:30:21.504531252Z,89
2023-12-17T02:30:31.8088593Z,86
2023-12-17T02:30:42.123663682Z,79
2023-12-17T02:30:52.29235386Z,77
2023-12-17T02:31:02.624514865Z,74
2023-12-17T02:31:12.945401928Z,72
2023-12-17T02:31:23.047827431Z,67
2023-12-17T02:31:33.43029883Z,78
2023-12-17T02:31:43.799233917Z,68
2023-12-17T02:31:54.160608555Z,83
2023-12-17T02:32:04.277196727Z,84
2023-12-17T02:32:14.59244824Z,86
2023-12-17T02:32:24.900783472Z,88
2023-12-17T02:32:35.225586704Z,83
2023-12-17T02:32:45.535294591Z,84
2023-12-17T02:32:55.838428157Z,98
2023-12-17T02:33:06.135756447Z,95
2023-12-17T02:33:16.483451711Z,80
2023-12-17T02:33:26.867604216Z,54
2023-12-17T02:33:37.00724131Z,61
2023-12-17T02:33:47.331760614Z,98
2023-12-17T02:33:57.664588842Z,86
2023-12-17T02:34:07.967234712Z,101
2023-12-17T02:34:18.281646445Z,78
2023-12-17T02:34:28.458863054Z,87
2023-12-17T02:34:38.773295938Z,82
2023-12-17T02:34:49.117424825Z,76
2023-12-17T02:34:59.42432314Z,76
2023-12-17T02:35:09.728681847Z,85
2023-12-17T02:35:20.044292635Z,69
2023-12-17T02:35:30.367355462Z,73
2023-12-17T02:35:40.704005387Z,69
2023-12-17T02:35:50.999678717Z,61
2023-12-17T02:36:01.339242442Z,95
2023-12-17T02:36:11.649278318Z,96
2023-12-17T02:36:21.971994383Z,70
